naics_sector,fiscal_year,total,month_name,month,year
Hotels,2014,783903.0,aug,8,2013
Restaurants,2014,3053605.0,aug,8,2013
Sport Teams,2014,1307101.0,aug,8,2013
"Arts, Entertainment, and Other Recreation",2014,734554.0,aug,8,2013
Other Sectors,2014,8374346.0,aug,8,2013
Membership Organizations,2014,2548091.0,aug,8,2013
Employment/Outsourcing Agencies,2014,1775791.0,aug,8,2013
Security and Investigation Services,2014,518829.0,aug,8,2013
Services to Buildings,2014,857297.0,aug,8,2013
Miscellaneous Sectors,2014,2674338.0,aug,8,2013
Government,2014,13337139.0,aug,8,2013
State Government (PA),2014,926547.0,aug,8,2013
"City, School District, Local Quasi Govt.",2014,8529184.0,aug,8,2013
Federal Government (includes US Post Office),2014,3706655.0,aug,8,2013
Other Governments,2014,174754.0,aug,8,2013
Unclassified Accounts,2014,204922.0,aug,8,2013
Construction,2014,3677217.0,sep,9,2013
Manufacturing (includes headquarter offices & factories),2014,7596529.0,sep,9,2013
"Chemicals, Petroleum Refining",2014,1283865.0,sep,9,2013
Pharmaceuticals,2014,1401124.0,sep,9,2013
Transportation Equipment,2014,746465.0,sep,9,2013
Food & Beverage Products,2014,1065867.0,sep,9,2013
"Machinery, Electronic, and Other Electric Equipment",2014,629528.0,sep,9,2013
Metal Manufacturing,2014,682985.0,sep,9,2013
Miscellaneous Manufacturing,2014,1786694.0,sep,9,2013
Public Utilities,2014,917294.0,sep,9,2013
Transportation and Warehousing,2014,3816748.0,sep,9,2013
Telecommunication,2014,2098474.0,sep,9,2013
"Publishing, Broadcasting, and Other Information",2014,1675507.0,sep,9,2013
Wholesale Trade,2014,2920190.0,sep,9,2013
Retail Trade,2014,6073966.0,sep,9,2013
Banking & Credit Unions,2014,2710475.0,sep,9,2013
Securities / Financial Investments,2014,3091619.0,sep,9,2013
Insurance,2014,3623030.0,sep,9,2013
"Real Estate, Rental and Leasing",2014,1914007.0,sep,9,2013
Health and Social Services,2014,25302666.0,sep,9,2013
Hospitals,2014,14105621.0,sep,9,2013
"Doctors, Dentists, and Other Health Practitioners",2014,2776612.0,sep,9,2013
Outpatient Care Centers and Other Health Services,2014,3463727.0,sep,9,2013
Nursing & Personal Care Facilities,2014,2738150.0,sep,9,2013
Social Services,2014,2218556.0,sep,9,2013
Education,2014,13093339.0,sep,9,2013
College and Universities,2014,10344435.0,sep,9,2013
"Elementary, Secondary Schools (except public schools)",2014,1875895.0,sep,9,2013
Other Educational Services,2014,873008.0,sep,9,2013
Professional  Services,2014,13317062.0,sep,9,2013
Legal Services,2014,4730586.0,sep,9,2013
Management Consulting,2014,3116487.0,sep,9,2013
Engineering & Architectural Services,2014,1390611.0,sep,9,2013
Computer,2014,1188788.0,sep,9,2013
"Accounting, Auditing, Bookkeeping",2014,1378528.0,sep,9,2013
Advertising and Other Professional Services,2014,1512063.0,sep,9,2013
Hotels,2014,815861.0,sep,9,2013
Restaurants,2014,2983579.0,sep,9,2013
Sport Teams,2014,1700601.0,sep,9,2013
"Arts, Entertainment, and Other Recreation",2014,732962.0,sep,9,2013
Other Sectors,2014,8667295.0,sep,9,2013
Membership Organizations,2014,2561478.0,sep,9,2013
Employment/Outsourcing Agencies,2014,1980486.0,sep,9,2013
Security and Investigation Services,2014,660157.0,sep,9,2013
Services to Buildings,2014,898714.0,sep,9,2013
Miscellaneous Sectors,2014,2566460.0,sep,9,2013
Government,2014,14622636.0,sep,9,2013
State Government (PA),2014,1034862.0,sep,9,2013
"City, School District, Local Quasi Govt.",2014,8469622.0,sep,9,2013
Federal Government (includes US Post Office),2014,4951042.0,sep,9,2013
Other Governments,2014,167109.0,sep,9,2013
Unclassified Accounts,2014,111651.0,sep,9,2013
Construction,2014,4657471.0,oct,10,2013
Manufacturing (includes headquarter offices & factories),2014,9357761.0,oct,10,2013
"Chemicals, Petroleum Refining",2014,1510492.0,oct,10,2013
Pharmaceuticals,2014,1695675.0,oct,10,2013
Transportation Equipment,2014,966469.0,oct,10,2013
Food & Beverage Products,2014,1437770.0,oct,10,2013
"Machinery, Electronic, and Other Electric Equipment",2014,784007.0,oct,10,2013
Metal Manufacturing,2014,708617.0,oct,10,2013
Miscellaneous Manufacturing,2014,2254730.0,oct,10,2013
Public Utilities,2014,1121192.0,oct,10,2013
Transportation and Warehousing,2014,5113828.0,oct,10,2013
Telecommunication,2014,2268236.0,oct,10,2013
"Publishing, Broadcasting, and Other Information",2014,2313919.0,oct,10,2013
Wholesale Trade,2014,3512587.0,oct,10,2013
Retail Trade,2014,7025241.0,oct,10,2013
Banking & Credit Unions,2014,2764189.0,oct,10,2013
Securities / Financial Investments,2014,2751117.0,oct,10,2013
Insurance,2014,4499767.0,oct,10,2013
"Real Estate, Rental and Leasing",2014,2130393.0,oct,10,2013
Health and Social Services,2014,29394774.0,oct,10,2013
Hospitals,2014,15454903.0,oct,10,2013
"Doctors, Dentists, and Other Health Practitioners",2014,4289866.0,oct,10,2013
Outpatient Care Centers and Other Health Services,2014,4035959.0,oct,10,2013
Nursing & Personal Care Facilities,2014,2991325.0,oct,10,2013
Social Services,2014,2622721.0,oct,10,2013
Education,2014,13407068.0,oct,10,2013
College and Universities,2014,10234983.0,oct,10,2013
"Elementary, Secondary Schools (except public schools)",2014,2107433.0,oct,10,2013
Other Educational Services,2014,1064652.0,oct,10,2013
Professional  Services,2014,16030723.0,oct,10,2013
Legal Services,2014,5562446.0,oct,10,2013
Management Consulting,2014,3073633.0,oct,10,2013
Engineering & Architectural Services,2014,1708674.0,oct,10,2013
Computer,2014,1470229.0,oct,10,2013
"Accounting, Auditing, Bookkeeping",2014,1765269.0,oct,10,2013
Advertising and Other Professional Services,2014,2450472.0,oct,10,2013
Hotels,2014,999898.0,oct,10,2013
Restaurants,2014,4208366.0,oct,10,2013
Sport Teams,2014,1962337.0,oct,10,2013
"Arts, Entertainment, and Other Recreation",2014,1021830.0,oct,10,2013
Other Sectors,2014,10780425.0,oct,10,2013
Membership Organizations,2014,3020395.0,oct,10,2013
Employment/Outsourcing Agencies,2014,2217147.0,oct,10,2013
Security and Investigation Services,2014,911658.0,oct,10,2013
Services to Buildings,2014,1045399.0,oct,10,2013
Miscellaneous Sectors,2014,3585825.0,oct,10,2013
Government,2014,22841585.0,oct,10,2013
State Government (PA),2014,933441.0,oct,10,2013
"City, School District, Local Quasi Govt.",2014,10550480.0,oct,10,2013
Federal Government (includes US Post Office),2014,11158593.0,oct,10,2013
Other Governments,2014,199071.0,oct,10,2013
Unclassified Accounts,2014,455227.0,oct,10,2013
Construction,2014,4068286.0,nov,11,2013
Manufacturing (includes headquarter offices & factories),2014,7681522.0,nov,11,2013
"Chemicals, Petroleum Refining",2014,1467278.0,nov,11,2013
Pharmaceuticals,2014,1310859.0,nov,11,2013
Transportation Equipment,2014,806472.0,nov,11,2013
Food & Beverage Products,2014,1097140.0,nov,11,2013
"Machinery, Electronic, and Other Electric Equipment",2014,649482.0,nov,11,2013
Metal Manufacturing,2014,646547.0,nov,11,2013
Miscellaneous Manufacturing,2014,1703745.0,nov,11,2013
Public Utilities,2014,925800.0,nov,11,2013
Transportation and Warehousing,2014,3799643.0,nov,11,2013
Telecommunication,2014,2236954.0,nov,11,2013
"Publishing, Broadcasting, and Other Information",2014,1756655.0,nov,11,2013
Wholesale Trade,2014,2795711.0,nov,11,2013
Retail Trade,2014,5759335.0,nov,11,2013
Banking & Credit Unions,2014,2486153.0,nov,11,2013
Securities / Financial Investments,2014,2530985.0,nov,11,2013
Insurance,2014,3706093.0,nov,11,2013
"Real Estate, Rental and Leasing",2014,1780347.0,nov,11,2013
Health and Social Services,2014,27609437.0,nov,11,2013
Hospitals,2014,15357957.0,nov,11,2013
"Doctors, Dentists, and Other Health Practitioners",2014,3127922.0,nov,11,2013
Outpatient Care Centers and Other Health Services,2014,4408802.0,nov,11,2013
Nursing & Personal Care Facilities,2014,2604629.0,nov,11,2013
Social Services,2014,2110128.0,nov,11,2013
Education,2014,13558205.0,nov,11,2013
College and Universities,2014,10771548.0,nov,11,2013
"Elementary, Secondary Schools (except public schools)",2014,1843652.0,nov,11,2013
Other Educational Services,2014,943005.0,nov,11,2013
Professional  Services,2014,12941537.0,nov,11,2013
Legal Services,2014,4540935.0,nov,11,2013
Management Consulting,2014,2871564.0,nov,11,2013
Engineering & Architectural Services,2014,1453335.0,nov,11,2013
Computer,2014,1184787.0,nov,11,2013
"Accounting, Auditing, Bookkeeping",2014,1308017.0,nov,11,2013
Advertising and Other Professional Services,2014,1582899.0,nov,11,2013
Hotels,2014,852243.0,nov,11,2013
Restaurants,2014,3526534.0,nov,11,2013
Sport Teams,2014,1539680.0,nov,11,2013
"Arts, Entertainment, and Other Recreation",2014,770717.0,nov,11,2013
Other Sectors,2014,8818754.0,nov,11,2013
Membership Organizations,2014,2543277.0,nov,11,2013
Employment/Outsourcing Agencies,2014,2048611.0,nov,11,2013
Security and Investigation Services,2014,533558.0,nov,11,2013
Services to Buildings,2014,869492.0,nov,11,2013
Miscellaneous Sectors,2014,2823817.0,nov,11,2013
Government,2014,15546022.0,nov,11,2013
State Government (PA),2014,919730.0,nov,11,2013
"City, School District, Local Quasi Govt.",2014,10342442.0,nov,11,2013
Federal Government (includes US Post Office),2014,4133179.0,nov,11,2013
Other Governments,2014,150671.0,nov,11,2013
Unclassified Accounts,2014,232156.0,nov,11,2013
Construction,2014,3635484.0,dec,12,2013
Manufacturing (includes headquarter offices & factories),2014,8030839.0,dec,12,2013
"Chemicals, Petroleum Refining",2014,1209769.0,dec,12,2013
Pharmaceuticals,2014,1430044.0,dec,12,2013
Transportation Equipment,2014,774570.0,dec,12,2013
Food & Beverage Products,2014,1223074.0,dec,12,2013
"Machinery, Electronic, and Other Electric Equipment",2014,683036.0,dec,12,2013
Metal Manufacturing,2014,760799.0,dec,12,2013
Miscellaneous Manufacturing,2014,1949548.0,dec,12,2013
Public Utilities,2014,863208.0,dec,12,2013
Transportation and Warehousing,2014,4143067.0,dec,12,2013
Telecommunication,2014,2025580.0,dec,12,2013
"Publishing, Broadcasting, and Other Information",2014,1760172.0,dec,12,2013
Wholesale Trade,2014,2948137.0,dec,12,2013
Retail Trade,2014,6071710.0,dec,12,2013
Banking & Credit Unions,2014,2465095.0,dec,12,2013
Securities / Financial Investments,2014,3392998.0,dec,12,2013
Insurance,2014,3631245.0,dec,12,2013
"Real Estate, Rental and Leasing",2014,1881930.0,dec,12,2013
Health and Social Services,2014,24620906.0,dec,12,2013
Hospitals,2014,13252710.0,dec,12,2013
"Doctors, Dentists, and Other Health Practitioners",2014,3025794.0,dec,12,2013
Outpatient Care Centers and Other Health Services,2014,3410046.0,dec,12,2013
Nursing & Personal Care Facilities,2014,2706047.0,dec,12,2013
Social Services,2014,2226308.0,dec,12,2013
Education,2014,16291981.0,dec,12,2013
College and Universities,2014,13181161.0,dec,12,2013
"Elementary, Secondary Schools (except public schools)",2014,2163108.0,dec,12,2013
Other Educational Services,2014,947712.0,dec,12,2013
Professional  Services,2014,13338962.0,dec,12,2013
Legal Services,2014,4841733.0,dec,12,2013
Management Consulting,2014,2568661.0,dec,12,2013
Engineering & Architectural Services,2014,1660972.0,dec,12,2013
Computer,2014,1180161.0,dec,12,2013
"Accounting, Auditing, Bookkeeping",2014,1335198.0,dec,12,2013
Advertising and Other Professional Services,2014,1752237.0,dec,12,2013
Hotels,2014,909955.0,dec,12,2013
Restaurants,2014,3348728.0,dec,12,2013
Sport Teams,2014,1383588.0,dec,12,2013
"Arts, Entertainment, and Other Recreation",2014,740748.0,dec,12,2013
Other Sectors,2014,8634569.0,dec,12,2013
Membership Organizations,2014,2651232.0,dec,12,2013
Employment/Outsourcing Agencies,2014,1965865.0,dec,12,2013
Security and Investigation Services,2014,688329.0,dec,12,2013
Services to Buildings,2014,853205.0,dec,12,2013
Miscellaneous Sectors,2014,2475938.0,dec,12,2013
Government,2014,13566446.0,dec,12,2013
State Government (PA),2014,1108229.0,dec,12,2013
"City, School District, Local Quasi Govt.",2014,8589060.0,dec,12,2013
Federal Government (includes US Post Office),2014,3681105.0,dec,12,2013
Other Governments,2014,188052.0,dec,12,2013
Unclassified Accounts,2014,128284.0,dec,12,2013
Construction,2014,4657014.0,jan,1,2014
Manufacturing (includes headquarter offices & factories),2014,10731382.0,jan,1,2014
"Chemicals, Petroleum Refining",2014,2083948.0,jan,1,2014
Pharmaceuticals,2014,1816867.0,jan,1,2014
Transportation Equipment,2014,989757.0,jan,1,2014
Food & Beverage Products,2014,1493813.0,jan,1,2014
"Machinery, Electronic, and Other Electric Equipment",2014,911654.0,jan,1,2014
Metal Manufacturing,2014,715699.0,jan,1,2014
Miscellaneous Manufacturing,2014,2719645.0,jan,1,2014
Public Utilities,2014,947111.0,jan,1,2014
Transportation and Warehousing,2014,5708787.0,jan,1,2014
Telecommunication,2014,3598956.0,jan,1,2014
"Publishing, Broadcasting, and Other Information",2014,2442797.0,jan,1,2014
Wholesale Trade,2014,4813325.0,jan,1,2014
Retail Trade,2014,8104307.0,jan,1,2014
Banking & Credit Unions,2014,3936126.0,jan,1,2014
Securities / Financial Investments,2014,5512437.0,jan,1,2014
Insurance,2014,4845337.0,jan,1,2014
"Real Estate, Rental and Leasing",2014,2890538.0,jan,1,2014
Health and Social Services,2014,35270076.0,jan,1,2014
Hospitals,2014,17903063.0,jan,1,2014
"Doctors, Dentists, and Other Health Practitioners",2014,5504893.0,jan,1,2014
Outpatient Care Centers and Other Health Services,2014,5895624.0,jan,1,2014
Nursing & Personal Care Facilities,2014,3117981.0,jan,1,2014
Social Services,2014,2848514.0,jan,1,2014
Education,2014,8576427.0,jan,1,2014
College and Universities,2014,5301216.0,jan,1,2014
"Elementary, Secondary Schools (except public schools)",2014,2185112.0,jan,1,2014
Other Educational Services,2014,1090099.0,jan,1,2014
Professional  Services,2014,26677937.0,jan,1,2014
Legal Services,2014,13699557.0,jan,1,2014
Management Consulting,2014,4580136.0,jan,1,2014
Engineering & Architectural Services,2014,2124992.0,jan,1,2014
Computer,2014,1614988.0,jan,1,2014
"Accounting, Auditing, Bookkeeping",2014,1551387.0,jan,1,2014
Advertising and Other Professional Services,2014,3106877.0,jan,1,2014
Hotels,2014,951468.0,jan,1,2014
Restaurants,2014,4298106.0,jan,1,2014
Sport Teams,2014,1575420.0,jan,1,2014
"Arts, Entertainment, and Other Recreation",2014,1030811.0,jan,1,2014
Other Sectors,2014,11160908.0,jan,1,2014
Membership Organizations,2014,3207012.0,jan,1,2014
Employment/Outsourcing Agencies,2014,2343346.0,jan,1,2014
Security and Investigation Services,2014,610036.0,jan,1,2014
Services to Buildings,2014,1067533.0,jan,1,2014
Miscellaneous Sectors,2014,3932981.0,jan,1,2014
Government,2014,24737103.0,jan,1,2014
State Government (PA),2014,928258.0,jan,1,2014
"City, School District, Local Quasi Govt.",2014,10731724.0,jan,1,2014
Federal Government (includes US Post Office),2014,12907831.0,jan,1,2014
Other Governments,2014,169291.0,jan,1,2014
Unclassified Accounts,2014,615551.0,jan,1,2014
Construction,2014,3744421.0,feb,2,2014
Manufacturing (includes headquarter offices & factories),2014,8418800.0,feb,2,2014
"Chemicals, Petroleum Refining",2014,1790940.0,feb,2,2014
Pharmaceuticals,2014,1503772.0,feb,2,2014
Transportation Equipment,2014,759003.0,feb,2,2014
Food & Beverage Products,2014,1101315.0,feb,2,2014
"Machinery, Electronic, and Other Electric Equipment",2014,742637.0,feb,2,2014
Metal Manufacturing,2014,674785.0,feb,2,2014
Miscellaneous Manufacturing,2014,1846346.0,feb,2,2014
Public Utilities,2014,1298663.0,feb,2,2014
Transportation and Warehousing,2014,4414148.0,feb,2,2014
Telecommunication,2014,2575135.0,feb,2,2014
"Publishing, Broadcasting, and Other Information",2014,1795085.0,feb,2,2014
Wholesale Trade,2014,2944418.0,feb,2,2014
Retail Trade,2014,6240716.0,feb,2,2014
Banking & Credit Unions,2014,3135056.0,feb,2,2014
Securities / Financial Investments,2014,4762032.0,feb,2,2014
Insurance,2014,4160818.0,feb,2,2014
"Real Estate, Rental and Leasing",2014,2058762.0,feb,2,2014
Health and Social Services,2014,26454268.0,feb,2,2014
Hospitals,2014,14491374.0,feb,2,2014
"Doctors, Dentists, and Other Health Practitioners",2014,3027828.0,feb,2,2014
Outpatient Care Centers and Other Health Services,2014,3823535.0,feb,2,2014
Nursing & Personal Care Facilities,2014,2827143.0,feb,2,2014
Social Services,2014,2284388.0,feb,2,2014
Education,2014,12570144.0,feb,2,2014
College and Universities,2014,9653934.0,feb,2,2014
"Elementary, Secondary Schools (except public schools)",2014,2002733.0,feb,2,2014
Other Educational Services,2014,913478.0,feb,2,2014
Professional  Services,2014,13268490.0,feb,2,2014
Legal Services,2014,4859667.0,feb,2,2014
Management Consulting,2014,2618998.0,feb,2,2014
Engineering & Architectural Services,2014,1428491.0,feb,2,2014
Computer,2014,1190408.0,feb,2,2014
"Accounting, Auditing, Bookkeeping",2014,1459125.0,feb,2,2014
Advertising and Other Professional Services,2014,1711801.0,feb,2,2014
Hotels,2014,832438.0,feb,2,2014
Restaurants,2014,3556902.0,feb,2,2014
Sport Teams,2014,895501.0,feb,2,2014
"Arts, Entertainment, and Other Recreation",2014,756942.0,feb,2,2014
Other Sectors,2014,9176205.0,feb,2,2014
Membership Organizations,2014,2568900.0,feb,2,2014
Employment/Outsourcing Agencies,2014,1959176.0,feb,2,2014
Security and Investigation Services,2014,822055.0,feb,2,2014
Services to Buildings,2014,949014.0,feb,2,2014
Miscellaneous Sectors,2014,2877061.0,feb,2,2014
Government,2014,13245876.0,feb,2,2014
State Government (PA),2014,1068477.0,feb,2,2014
"City, School District, Local Quasi Govt.",2014,8828754.0,feb,2,2014
Federal Government (includes US Post Office),2014,3177945.0,feb,2,2014
Other Governments,2014,170701.0,feb,2,2014
Unclassified Accounts,2014,384175.0,feb,2,2014
Construction,2014,3411006.0,mar,3,2014
Manufacturing (includes headquarter offices & factories),2014,11698815.0,mar,3,2014
"Chemicals, Petroleum Refining",2014,2168708.0,mar,3,2014
Pharmaceuticals,2014,4624080.0,mar,3,2014
Transportation Equipment,2014,786880.0,mar,3,2014
Food & Beverage Products,2014,1132499.0,mar,3,2014
"Machinery, Electronic, and Other Electric Equipment",2014,618218.0,mar,3,2014
Metal Manufacturing,2014,763952.0,mar,3,2014
Miscellaneous Manufacturing,2014,1604478.0,mar,3,2014
Public Utilities,2014,1771590.0,mar,3,2014
Transportation and Warehousing,2014,4519667.0,mar,3,2014
Telecommunication,2014,6034309.0,mar,3,2014
"Publishing, Broadcasting, and Other Information",2014,2148259.0,mar,3,2014
Wholesale Trade,2014,2438314.0,mar,3,2014
Retail Trade,2014,5265720.0,mar,3,2014
Banking & Credit Unions,2014,3794755.0,mar,3,2014
Securities / Financial Investments,2014,6283036.0,mar,3,2014
Insurance,2014,9838921.0,mar,3,2014
"Real Estate, Rental and Leasing",2014,2281376.0,mar,3,2014
Health and Social Services,2014,23746369.0,mar,3,2014
Hospitals,2014,13124295.0,mar,3,2014
"Doctors, Dentists, and Other Health Practitioners",2014,2583638.0,mar,3,2014
Outpatient Care Centers and Other Health Services,2014,3657951.0,mar,3,2014
Nursing & Personal Care Facilities,2014,2417916.0,mar,3,2014
Social Services,2014,1962569.0,mar,3,2014
Education,2014,12340960.0,mar,3,2014
College and Universities,2014,9625919.0,mar,3,2014
"Elementary, Secondary Schools (except public schools)",2014,1901506.0,mar,3,2014
Other Educational Services,2014,813534.0,mar,3,2014
Professional  Services,2014,12472278.0,mar,3,2014
Legal Services,2014,4289758.0,mar,3,2014
Management Consulting,2014,2708871.0,mar,3,2014
Engineering & Architectural Services,2014,1330422.0,mar,3,2014
Computer,2014,1336264.0,mar,3,2014
"Accounting, Auditing, Bookkeeping",2014,1274398.0,mar,3,2014
Advertising and Other Professional Services,2014,1532565.0,mar,3,2014
Hotels,2014,850359.0,mar,3,2014
Restaurants,2014,2835130.0,mar,3,2014
Sport Teams,2014,1230472.0,mar,3,2014
"Arts, Entertainment, and Other Recreation",2014,936377.0,mar,3,2014
Other Sectors,2014,7934197.0,mar,3,2014
Membership Organizations,2014,2300855.0,mar,3,2014
Employment/Outsourcing Agencies,2014,1716721.0,mar,3,2014
Security and Investigation Services,2014,545372.0,mar,3,2014
Services to Buildings,2014,782067.0,mar,3,2014
Miscellaneous Sectors,2014,2589182.0,mar,3,2014
Government,2014,13590428.0,mar,3,2014
State Government (PA),2014,921030.0,mar,3,2014
"City, School District, Local Quasi Govt.",2014,8501645.0,mar,3,2014
Federal Government (includes US Post Office),2014,4026547.0,mar,3,2014
Other Governments,2014,141205.0,mar,3,2014
Unclassified Accounts,2014,219395.0,mar,3,2014
Construction,2014,4203190.0,apr,4,2014
Manufacturing (includes headquarter offices & factories),2014,10922333.0,apr,4,2014
"Chemicals, Petroleum Refining",2014,2251731.0,apr,4,2014
Pharmaceuticals,2014,2164874.0,apr,4,2014
Transportation Equipment,2014,1010836.0,apr,4,2014
Food & Beverage Products,2014,1375403.0,apr,4,2014
"Machinery, Electronic, and Other Electric Equipment",2014,854956.0,apr,4,2014
Metal Manufacturing,2014,878476.0,apr,4,2014
Miscellaneous Manufacturing,2014,2386056.0,apr,4,2014
Public Utilities,2014,1440418.0,apr,4,2014
Transportation and Warehousing,2014,5062186.0,apr,4,2014
Telecommunication,2014,6638955.0,apr,4,2014
"Publishing, Broadcasting, and Other Information",2014,2624892.0,apr,4,2014
Wholesale Trade,2014,4662754.0,apr,4,2014
Retail Trade,2014,7618975.0,apr,4,2014
Banking & Credit Unions,2014,4138810.0,apr,4,2014
Securities / Financial Investments,2014,4965356.0,apr,4,2014
Insurance,2014,6039480.0,apr,4,2014
"Real Estate, Rental and Leasing",2014,3084361.0,apr,4,2014
Health and Social Services,2014,29838052.0,apr,4,2014
Hospitals,2014,15851929.0,apr,4,2014
"Doctors, Dentists, and Other Health Practitioners",2014,3962184.0,apr,4,2014
Outpatient Care Centers and Other Health Services,2014,4484618.0,apr,4,2014
Nursing & Personal Care Facilities,2014,2930523.0,apr,4,2014
Social Services,2014,2608798.0,apr,4,2014
Education,2014,12969330.0,apr,4,2014
College and Universities,2014,9749000.0,apr,4,2014
"Elementary, Secondary Schools (except public schools)",2014,2178760.0,apr,4,2014
Other Educational Services,2014,1041570.0,apr,4,2014
Professional  Services,2014,16356941.0,apr,4,2014
Legal Services,2014,5389724.0,apr,4,2014
Management Consulting,2014,3473077.0,apr,4,2014
Engineering & Architectural Services,2014,1695957.0,apr,4,2014
Computer,2014,1585542.0,apr,4,2014
"Accounting, Auditing, Bookkeeping",2014,1549899.0,apr,4,2014
Advertising and Other Professional Services,2014,2662742.0,apr,4,2014
Hotels,2014,965883.0,apr,4,2014
Restaurants,2014,3744058.0,apr,4,2014
Sport Teams,2014,1928163.0,apr,4,2014
"Arts, Entertainment, and Other Recreation",2014,976291.0,apr,4,2014
Other Sectors,2014,10453129.0,apr,4,2014
Membership Organizations,2014,3203063.0,apr,4,2014
Employment/Outsourcing Agencies,2014,2143634.0,apr,4,2014
Security and Investigation Services,2014,626450.0,apr,4,2014
Services to Buildings,2014,1016461.0,apr,4,2014
Miscellaneous Sectors,2014,3463521.0,apr,4,2014
Government,2014,26366742.0,apr,4,2014
State Government (PA),2014,917626.0,apr,4,2014
"City, School District, Local Quasi Govt.",2014,12691022.0,apr,4,2014
Federal Government (includes US Post Office),2014,12589888.0,apr,4,2014
Other Governments,2014,168206.0,apr,4,2014
Unclassified Accounts,2014,526346.0,apr,4,2014
Construction,2014,4192710.0,may,5,2014
Manufacturing (includes headquarter offices & factories),2014,7812323.0,may,5,2014
"Chemicals, Petroleum Refining",2014,1243516.0,may,5,2014
Pharmaceuticals,2014,1728939.0,may,5,2014
Transportation Equipment,2014,823234.0,may,5,2014
Food & Beverage Products,2014,1044377.0,may,5,2014
"Machinery, Electronic, and Other Electric Equipment",2014,690981.0,may,5,2014
Metal Manufacturing,2014,689715.0,may,5,2014
Miscellaneous Manufacturing,2014,1591560.0,may,5,2014
Public Utilities,2014,887809.0,may,5,2014
Transportation and Warehousing,2014,3969550.0,may,5,2014
Telecommunication,2014,2603305.0,may,5,2014
"Publishing, Broadcasting, and Other Information",2014,1606604.0,may,5,2014
Wholesale Trade,2014,2707850.0,may,5,2014
Retail Trade,2014,6098923.0,may,5,2014
Banking & Credit Unions,2014,2395095.0,may,5,2014
Securities / Financial Investments,2014,4315125.0,may,5,2014
Insurance,2014,3702009.0,may,5,2014
"Real Estate, Rental and Leasing",2014,1797278.0,may,5,2014
Health and Social Services,2014,26453304.0,may,5,2014
Hospitals,2014,14246884.0,may,5,2014
"Doctors, Dentists, and Other Health Practitioners",2014,2874309.0,may,5,2014
Outpatient Care Centers and Other Health Services,2014,4532115.0,may,5,2014
Nursing & Personal Care Facilities,2014,2604036.0,may,5,2014
Social Services,2014,2195959.0,may,5,2014
Education,2014,12334225.0,may,5,2014
College and Universities,2014,9526194.0,may,5,2014
"Elementary, Secondary Schools (except public schools)",2014,1938170.0,may,5,2014
Other Educational Services,2014,869861.0,may,5,2014
Professional  Services,2014,12413484.0,may,5,2014
Legal Services,2014,4428301.0,may,5,2014
Management Consulting,2014,2265367.0,may,5,2014
Engineering & Architectural Services,2014,1342621.0,may,5,2014
Computer,2014,1063267.0,may,5,2014
"Accounting, Auditing, Bookkeeping",2014,1619959.0,may,5,2014
Advertising and Other Professional Services,2014,1693968.0,may,5,2014
Hotels,2014,848482.0,may,5,2014
Restaurants,2014,3652144.0,may,5,2014
Sport Teams,2014,1009603.0,may,5,2014
"Arts, Entertainment, and Other Recreation",2014,768688.0,may,5,2014
Other Sectors,2014,8946596.0,may,5,2014
Membership Organizations,2014,2534147.0,may,5,2014
Employment/Outsourcing Agencies,2014,1972128.0,may,5,2014
Security and Investigation Services,2014,575779.0,may,5,2014
Services to Buildings,2014,887428.0,may,5,2014
Miscellaneous Sectors,2014,2977114.0,may,5,2014
Government,2014,12475694.0,may,5,2014
State Government (PA),2014,928348.0,may,5,2014
"City, School District, Local Quasi Govt.",2014,8542809.0,may,5,2014
Federal Government (includes US Post Office),2014,2843908.0,may,5,2014
Other Governments,2014,160629.0,may,5,2014
Unclassified Accounts,2014,308707.0,may,5,2014
Construction,2014,3760115.0,jun,6,2014
Manufacturing (includes headquarter offices & factories),2014,7804224.0,jun,6,2014
"Chemicals, Petroleum Refining",2014,1385268.0,jun,6,2014
Pharmaceuticals,2014,1555544.0,jun,6,2014
Transportation Equipment,2014,738120.0,jun,6,2014
Food & Beverage Products,2014,1087845.0,jun,6,2014
"Machinery, Electronic, and Other Electric Equipment",2014,660592.0,jun,6,2014
Metal Manufacturing,2014,653672.0,jun,6,2014
Miscellaneous Manufacturing,2014,1723182.0,jun,6,2014
Public Utilities,2014,939660.0,jun,6,2014
Transportation and Warehousing,2014,4139295.0,jun,6,2014
Telecommunication,2014,2089404.0,jun,6,2014
"Publishing, Broadcasting, and Other Information",2014,1684338.0,jun,6,2014
Wholesale Trade,2014,2924287.0,jun,6,2014
Retail Trade,2014,5959954.0,jun,6,2014
Banking & Credit Unions,2014,2407654.0,jun,6,2014
Securities / Financial Investments,2014,-274944.0,jun,6,2014
Insurance,2014,3837752.0,jun,6,2014
"Real Estate, Rental and Leasing",2014,1903348.0,jun,6,2014
Health and Social Services,2014,25779844.0,jun,6,2014
Hospitals,2014,14023466.0,jun,6,2014
"Doctors, Dentists, and Other Health Practitioners",2014,2984055.0,jun,6,2014
Outpatient Care Centers and Other Health Services,2014,3579021.0,jun,6,2014
Nursing & Personal Care Facilities,2014,2853206.0,jun,6,2014
Social Services,2014,2340096.0,jun,6,2014
Education,2014,12677023.0,jun,6,2014
College and Universities,2014,9563517.0,jun,6,2014
"Elementary, Secondary Schools (except public schools)",2014,2144294.0,jun,6,2014
